Ime;Japonsko ime;Klasifikacija;Napad;Obramba;Višina (m);Masa (kg);HP;Hitrost;Tip 1;Tip 2;Generacija;Legendaren
Lunala;Lunalaルナアーラ;Moone Pokémon;113;89;4,0;120,0;137;97;psychic;ghost;7;1
Nihilego;Uturoidウツロイド;Parasite Pokémon;53;47;1,2;55,5;109;103;rock;poison;7;1
Buzzwole;Massivoonマッシブーン;Swollen Pokémon;139;139;2,4;333,6;107;79;bug;fighting;7;1
Pheromosa;Pheroacheフェローチェ;Lissome Pokémon;137;37;1,8;25,0;71;151;bug;fighting;7;1
Xurkitree;Denjyumokuデンジュモク;Glowing Pokémon;89;71;3,8;100,0;83;83;electric;;7;1
Celesteela;Tekkaguyaテッカグヤ;Launch Pokémon;101;103;9,2;999,9;97;61;steel;flying;7;1
Kartana;Kamiturugiカミツルギ;Drawn Sword Pokémon;181;131;0,3;0,1;59;109;grass;steel;7;1
Guzzlord;Akuzikingアクジキング;Junkivore Pokémon;101;53;5,5;888,0;223;43;dark;dragon;7;1
Necrozma;Necrozmaネクロズマ;Prism Pokémon;107;101;2,4;230,0;97;79;psychic;;7;1
Magearna;Magearnaマギアナ;Artificial Pokémon;95;115;1,0;80,5;80;65;steel;fairy;7;1
